id,belief_text,category,status,discovered_date,transformation_date,alternative_belief,notes
1,"У меня точно не получиться (это) никогда!","Катастрофизация, Предсказание будущего","Обнаружено","","","Я пробую и учусь на опыте, результат может удивить",""
2,"Я всегда все путаю, поэтому такой бестолковый","Сверхобобщение, Ярлык на себя","Обнаружено","","","Иногда я ошибаюсь, и это нормальная часть обучения",""
3,"Мне все равно не выиграть, можно даже не пытаться","Предсказание будущего, Выученная беспомощность","Обнаружено","","","Я не знаю результата заранее, попытка имеет ценность",""
4,"Кому я такая страшная нужна","Низкая самооценка, Обесценивание себя","Обнаружено","","","Моя ценность не зависит от внешности, я достоин любви",""
5,"Мне всегда не везет","Сверхобобщение, Фильтрация негативного","Обнаружено","","","Бывают удачи и неудачи, я замечаю и то, и другое",""
6,"Меня никто не любит","Сверхобобщение, Черно-белое мышление","Обнаружено","","","Есть люди, которые меня ценят, я открыт для связи",""
7,"У меня плохая память (фантазия, воображение)","Ярлык на себя, Фиксированное мышление","Обнаружено","","","Память и креативность можно развивать, я работаю над этим",""
8,"Я неудачник","Ярлык на себя, Глобализация","Обнаружено","","","У меня есть неудачи И успехи, я продолжаю расти",""
9,"Мне публично выступить? Что вы?! Это точно не мое!","Ограничивающее убеждение, Страх","Обнаружено","","","Публичные выступления — навык, которому можно научиться",""
10,"У меня такая плохая наследственность","Внешний локус контроля, Безнадежность","Обнаружено","","","Я не могу изменить гены, но влияю на многое своими действиями",""
11,"Чтобы я ни делал, ни в чем нет успеха","Сверхобобщение, Фильтрация","Обнаружено","","","Я вспоминаю свои успехи и учусь на опыте",""
12,"Потому что я плохой муж (сын, отец, жена, мать, дочь)","Ярлык на себя, Чувство вины","Обнаружено","","","Я стараюсь быть хорошим [роль], допуская несовершенство",""
13,"Мой возраст (пол, вес, внешность) не позволяет сделать этого","Ограничивающее убеждение, Оправдание","Обнаружено","","","Мои качества не определяют мои возможности полностью",""
14,"Я никогда не сяду за руль/сяду в самолет, это же смертельно опасно!","Катастрофизация, Специфическая фобия","Обнаружено","","","Статистически это безопасно, я могу справиться со страхом",""
15,"Я никому не доверяю, это опасно. Только понадеешься, тут же подведут","Сверхобобщение, Защитный механизм","Обнаружено","","","Я осторожен и открыт для доверия проверенным людям",""
16,"Этих жизненных препятствий никогда не преодолеть, уж лучше и не начинать","Катастрофизация, Выученная беспомощность","Обнаружено","","","Я справляюсь с трудностями шаг за шагом",""
17,"Я всем должен","Долженствование, Чувство вины","Обнаружено","","","Я помогаю по желанию, а не из долга",""
18,"Я должен всегда выполнять все, что меня просят","Долженствование, Угождение","Обнаружено","","","Я имею право сказать 'нет' и устанавливать границы",""
19,"Я должен жалеть, опекать, понимать, защищать","Долженствование, Созависимость","Обнаружено","","","Я забочусь о других И о себе, сохраняя баланс",""
20,"Я должен за оказанную услугу чувствовать себя в неоплатном долгу","Долженствование, Чувство вины","Обнаружено","","","Я принимаю помощь с благодарностью, без чрезмерного долга",""
21,"Я должен не терять выдержки и самообладания, никогда","Долженствование, Черно-белое мышление","Обнаружено","","","Я стремлюсь к выдержке, но имею право на эмоции",""
22,"Я должен не ссориться, не конфликтовать","Долженствование, Избегание","Обнаружено","","","Здоровые конфликты — часть отношений, я могу защищать свои границы",""
23,"Я должен делать все отлично, быстро, качественно","Долженствование, Перфекционизм","Обнаружено","","","Я стремлюсь к качеству, но принимаю процесс обучения",""
24,"Я должен нравиться всем","Долженствование, Угождение","Обнаружено","","","Невозможно нравиться всем, и это нормально. Я выбираю быть собой",""
25,"Я должен держать всех и все под контролем","Долженствование, Контроль","Обнаружено","","","Я могу влиять на свои действия, но не контролирую других",""
26,"Я должен не быть один","Долженствование, Зависимость","Обнаружено","","","Я ценю отношения и способен быть наедине с собой",""
27,"Я должен вести себя правильно","Долженствование, Сверхобобщение","Обнаружено","","","Я делаю осознанные выборы в соответствии со своими ценностями",""
28,"Я должен устранять недостатки, указанные мне другими","Долженствование, Внешний локус контроля","Обнаружено","","","Я прислушиваюсь к обратной связи и сам решаю, что менять",""
29,"Другие должны меня любить, не ругать, не критиковать и ценить","Долженствование на других, Нереалистичные ожидания","Обнаружено","","","Я не контролирую чувства других, но могу влиять на отношения",""
30,"Другие должны не просить меня о серьезных вещах, об одолжениях и не брать денег взаймы","Долженствование на других, Избегание","Обнаружено","","","Я имею право сказать 'нет' неудобным просьбам",""
31,"Другие должны быть справедливыми, чуткими, благодарными","Долженствование на других, Нереалистичные ожидания","Обнаружено","","","Люди разные. Я ценю эти качества, но не могу требовать их от всех",""
32,"Другие должны понимать без слов мои желания, а также вести себя сообразно им","Долженствование на других, Чтение мыслей","Обнаружено","","","Я ясно выражаю свои потребности и желания",""
33,"Другие должны быть предупредительными","Долженствование на других, Нереалистичные ожидания","Обнаружено","","","Я ценю внимательность, но не жду ее от всех автоматически",""
34,"Я боюсь, что обо мне подумают","Социальная тревога, Чтение мыслей","Обнаружено","","","Я не контролирую мысли других и фокусируюсь на своих ценностях",""
35,"Я обижен на отца/Я ненавижу своего отца/Я зол на своего отца","Незавершенная эмоция, Травма","Обнаружено","","","Я признаю свои чувства и работаю над исцелением прошлого",""
36,"Я не умею уходить оттуда, где плохо","Выученная беспомощность, Низкая самоэффективность","Обнаружено","","","Я учусь распознавать токсичные ситуации и имею право уйти",""
37,"Я никому не доверяю/Все люди обманщики","Сверхобобщение, Защитный механизм","Обнаружено","","","Я осторожен, но открыт для доверия достойным людям",""
38,"Я боюсь ошибок","Страх неудачи, Перфекционизм","Обнаружено","","","Ошибки — часть обучения и роста",""
39,"Я боюсь осуждения","Социальная тревога, Страх оценки","Обнаружено","","","Не все будут одобрять мой выбор, и это нормально",""
40,"Я боюсь что меня засмеют","Социальная тревога, Страх отвержения","Обнаружено","","","Моя ценность не зависит от мнения других",""
41,"Я слишком мал, чтобы быть богатым/Я слишком стар, чтобы быть богатым","Ограничивающее убеждение о возрасте, Самосаботаж","Обнаружено","","","Финансовый успех возможен в любом возрасте",""
42,"Я не как все, я делаю все по-своему","Изоляция, Противопоставление","Обнаружено","","","Моя уникальность — это сила, и я часть сообщества",""
43,"Я витаю в облаках, мне сложно дается зарабатывание денег","Самоидентификация, Ограничивающее убеждение","Обнаружено","","","Я креативен И способен зарабатывать деньги",""
44,"У меня нет талантов","Обесценивание себя, Низкая самооценка","Обнаружено","","","У каждого есть сильные стороны, я исследую свои",""
45,"Показывать чувства – плохо/неправильно","Эмоциональная блокировка, Запрет","Обнаружено","","","Выражать чувства здоровым способом — нормально и важно",""
46,"Я боюсь принимать решения","Страх ответственности, Неуверенность","Обнаружено","","","Я учусь принимать решения и справляться с послед��твиями",""
47,"Я жертва/неудачник","Роль жертвы, Выученная беспомощность","Обнаружено","","","Я автор своей жизни и могу влиять на ситуацию",""
48,"Я сам не смогу ничего сделать","Низкая самоэффективность, Зависимость","Обнаружено","","","Я способен справляться с задачами и могу просить о помощи",""
49,"Я не умею отдыхать/расслабляться","Трудоголизм, Напряжение","Обнаружено","","","Отдых — важная часть продуктивности, я учусь расслабляться",""
50,"У меня нет лидерских качеств","Обесценивание себя, Ограничивающее убеждение","Обнаружено","","","Лидерство можно развивать, у меня есть свой стиль влияния",""
51,"Я не умею делегировать","Контроль, Перфекционизм","Обнаружено","","","Делегирование — навык, которому я учусь",""
52,"Я боюсь магазинов","Специфическая фобия, Тревога","Обнаружено","","","Я могу справиться с дискомфортом в магазинах, это безопасно",""
53,"Я боюсь обмана","Недоверие, Тревога","Обнаружено","","","Я осторожен и одновременно открыт, большинство людей честны",""
54,"Продавцы обвешивают/не докладывают","Недоверие, Паранойя","Обнаружено","","","Я проверяю важное и доверяю в разумных пределах",""
55,"Продавая этот товар много не заработаешь","Ограничивающее убеждение о деньгах, Предсказание","Обнаружено","","","Доход зависит от ценности и подхода, а не только от товара",""
56,"Я занимаюсь ерундой","Обесценивание деятельности, Импостер-синдром","Обнаружено","","","То, чем я занимаюсь, имеет ценность",""
57,"Это никому не нужно","Обесценивание, Катастрофизация","Обнаружено","","","Есть люди, кому нужно то, что я предлагаю",""
58,"Оффлайновый бизнес мёртв","Черно-белое мышление, Катастрофизация","Обнаружено","","","Оффлайн и онлайн могут дополнять друг друга",""
59,"Все ниши заняты","Ограничивающее убеждение, Катастрофизация","Обнаружено","","","Всегда есть место для уникального подхода и ценности",""
60,"Не знаю как (правильно) продавать услуги","Неуверенность, Перфекционизм","Обнаружено","","","Продажи — навык, которому я учусь на практике",""
61,"У меня мало денег на старт/У меня нет денег на бизнес","Ограничивающее убеждение о деньгах, Оправдание","Обнаружено","","","Я начинаю с того, что есть, и нахожу ресурсы",""
62,"Не умею убеждать","Низкая самоэффективность, Ограничивающее убеждение","Обнаружено","","","Убеждение — навык, который я развиваю",""
63,"У меня нет времени","Оправдание, Приоритеты","Обнаружено","","","Я нахожу время для важного",""
64,"Я устал/устала, в таком состоянии бизнес не начинают","Оправдание, Перфекционизм","Обнаружено","","","Я забочусь о себе и делаю маленькие шаги несмотря на усталость",""
65,"Я боюсь учиться","Страх неудачи, Фиксированное мышление","Обнаружено","","","Обучение — естественный процесс, я открыт новому",""
66,"Я боюсь применять новинки","Страх изменений, Консерватизм","Обнаружено","","","Новое может быть возможностью, я пробую осторожно",""
67,"Я боюсь ответственности","Страх последствий, Избегание","Обнаружено","","","Ответственность дает мне контроль над своей жизнью",""
68,"Я начинаю что-то делать, когда мне страшно","Паттерн, Прокрастинация","Обнаружено","","","Я могу действовать ДО того, как станет страшно, выбирая спокойствие",""
69,"Я боюсь мечтать","Страх разочарования, Защита","Обнаружено","","","Мечты вдохновляют меня, я имею право мечтать",""
70,"Избавляться от блоков сложно","Ограничивающее убеждение о процессе, Катастрофизация","Обнаружено","","","Трансформация происходит шаг за шагом, я двигаюсь в своем темпе",""
71,"Я боюсь изменений в жизни","Страх неизвестности, Избегание","Обнаружено","","","Изменения — часть роста, я справлюсь с ними",""
72,"Я устал от жизни/от неудач/от сложностей","Выгорание, Безнадежность","Обнаружено","","","Я забочусь о себе и нахожу поддержку в трудные моменты",""
73,"Я недостоин получать удовольствие, подарки, радости","Низкая самооценка, Чувство вины","Обнаружено","","","Я достоин радости, любви и хорошего в своей жизни",""
74,"По карьерной лестнице не пробиться, двигают только своих","Выученная беспомощность, Внешний локус контроля","Обнаружено","","","Есть разные пути карьерного роста, я создаю возможности",""
75,"Хоть сто пядей во лбу, начальник никогда тебя не похвалит","Безнадежность, Сверхобобщение","Обнаружено","","","Я делаю качественную работу независимо от внешнего признания",""
76,"На работе инициатива наказуема, лучше не бери на себя лишнего","Страх последствий, Избегание","Обнаружено","","","Я оцениваю риски и проявляю инициативу в подходящих ситуациях",""
77,"Нельзя быть в коллективе «самым умным», этого никто не любит","Социальный страх, Самоограничение","Обнаружено","","","Я могу проявлять компетентность и быть скромным",""
78,"Работа не волк, в лес не убежит","Прокрастинация, Оправдание","Обнаружено","","","Я планирую и выполняю задачи своевременно",""
79,"Хороших начальников не бывает","Сверхобобщение, Негативизм","Обнаружено","","","Есть разные руководители, я ищу подходящую среду",""
80,"Никогда не признавайся в своих ошибках, а то накажут","Страх последствий, Защита","Обнаружено","","","Признание ошибок показывает зрелость и способствует росту",""
81,"Никому никогда не помогай, это к добру не приведет","Недоверие, Защита","Обнаружено","","","Я помогаю, когда хочу и могу, устанавливая здоровые границы",""
82,"Любое сказанное слово против тебя обернется","Паранойя, Недоверие","Обнаружено","","","Я говорю осознанно и не боюсь здоровой коммуникации",""
83,"Мой опыт никому не нужен","Обесценивание себя, Импостер-синдром","Обнаружено","","","Мой опыт ценен и может быть полезен другим",""
84,"Вокруг полно более молодых и успешных","Сравнение, Обесценивание","Обнаружено","","","У каждого свой путь, я фокусируюсь на своем росте",""
85,"С такой внешностью не работать в этой профессии","Ограничивающее убеждение, Низкая самооценка","Обнаружено","","","Профессионализм важнее внешности в большинстве сфер",""
86,"Во столько лет на хорошую работу не устроиться","Ограничивающее убеждение о возрасте, Безнадежность","Обнаружено","","","Опыт и навыки ценны в любом возрасте",""
87,"Хоть «3 копейки», но зато свои, и два раза в месяц","Страх риска, Безопасность","Обнаружено","","","Стабильность важна, И я могу искать возможности роста",""
88,"Лучше стабильно получать 30 тысяч в офисе, чем шагать в неизвестность","Страх изменений, Безопасность","Обнаружено","","","Я оцениваю риски и принимаю осознанные решения о карьере",""
89,"Работа не бывает интересной","Сверхобобщение, Безнадежность","Обнаружено","","","Есть работа, которая соответствует моим интересам и ценностям",""
90,"Работать на себя слишком рискованно","Страх риска, Избегание","Обнаружено","","","Риски есть везде, я оцениваю и выбираю осознанно",""
